CHAR_1,CHAR_2,CHAR_3,CHAR_5,CHAR_6,CHAR_7,FIRST_2,FIRST_3,FIRST_5,FIRST_6,FIRST_7,LEFTHAND_TEXT,CHAR_5_TEXT,CHAR_6_TEXT,CHAR_7_TEXT,Combined Text,PartSpecific,Part,Area,Type,Extra,Complete,Notes
M,0,0,9,.,.,M0,M00,M00.9,M00.9,M00.9,Pyogenic arthritis,arthritis pyogenic,.,.,arthritis pyogenic . .,.,-,.,musculoskeletal,infectious,y,.
M,0,8,0,0,.,M0,M08,M08.0,M08.00,M08.00,Juvenile arthritis,arthritis juvenile rheumatoid,site,.,arthritis juvenile rheumatoid site .,.,-,.,musculoskeletal,inflammatory,y,.
M,0,8,3,.,.,M0,M08,M08.3,M08.3,M08.3,Juvenile arthritis,juvenile polyarthritis rheumatoid seronegative,.,.,juvenile polyarthritis rheumatoid seronegative . .,.,-,.,musculoskeletal,inflammatory,y,.
M,0,8,4,0,.,M0,M08,M08.4,M08.40,M08.40,Juvenile arthritis,arthritis juvenile pauciarticular rheumatoid,site,.,arthritis juvenile pauciarticular rheumatoid site .,.,-,.,musculoskeletal,inflammatory,y,.
M,0,8,8,0,.,M0,M08,M08.8,M08.80,M08.80,Juvenile arthritis,arthritis juvenile,site,.,arthritis juvenile site .,.,-,.,musculoskeletal,inflammatory,y,.
M,0,8,9,0,.,M0,M08,M08.9,M08.90,M08.90,Juvenile arthritis,arthritis juvenile,site,.,arthritis juvenile site .,.,-,.,musculoskeletal,inflammatory,y,.
M,1,2,2,0,.,M1,M12,M12.2,M12.20,M12.20,Other specific arthropathies,pigmented synovitis villonodular,site,.,pigmented synovitis villonodular site .,.,-,.,musculoskeletal,inflammatory,y,.
M,2,0,0,2,1,M2,M20,M20.0,M20.02,M20.021,Acquired deformities of fingers & toes,fingers,boutonniere deformity,.,fingers boutonniere deformity .,finger,hand,arm,musculoskeletal,.,y,.
M,2,0,0,2,2,M2,M20,M20.0,M20.02,M20.022,Acquired deformities of fingers & toes,fingers,boutonniere deformity,.,fingers boutonniere deformity .,finger,hand,arm,musculoskeletal,.,y,.
M,2,0,0,3,2,M2,M20,M20.0,M20.03,M20.032,Acquired deformities of fingers & toes,fingers,deformity swanneck,.,fingers deformity swanneck .,finger,hand,arm,musculoskeletal,.,y,.
M,2,0,0,9,1,M2,M20,M20.0,M20.09,M20.091,Acquired deformities of fingers & toes,fingers,deformity,.,fingers deformity .,finger,hand,arm,musculoskeletal,.,y,.
M,2,0,0,9,2,M2,M20,M20.0,M20.09,M20.092,Acquired deformities of fingers & toes,fingers,deformity,.,fingers deformity .,finger,hand,arm,musculoskeletal,.,y,.
M,2,1,2,4,2,M2,M21,M21.2,M21.24,M21.242,Other acquired deformities of limbs,deformity flexion,finger joints,.,deformity flexion finger joints .,finger,hand,arm,musculoskeletal,.,y,.
M,2,4,4,4,5,M2,M24,M24.4,M24.44,M24.445,Other specific joint derangements,dislocation recurrent,finger hand,.,dislocation recurrent finger hand .,finger,hand,arm,musculoskeletal,.,y,.
M,6,5,3,0,.,M6,M65,M65.3,M65.30,M65.30,Synovitis & tenosynovitis,finger,trigger,.,finger trigger .,finger,hand,arm,musculoskeletal,.,y,.
M,6,5,3,1,1,M6,M65,M65.3,M65.31,M65.311,Synovitis & tenosynovitis,finger,thumb,trigger,finger thumb trigger,finger,hand,arm,musculoskeletal,.,y,.
M,6,5,3,1,2,M6,M65,M65.3,M65.31,M65.312,Synovitis & tenosynovitis,finger,thumb,trigger,finger thumb trigger,finger,hand,arm,musculoskeletal,.,y,.
M,6,5,3,2,2,M6,M65,M65.3,M65.32,M65.322,Synovitis & tenosynovitis,finger,index trigger,.,finger index trigger .,finger,hand,arm,musculoskeletal,.,y,.
M,6,5,3,3,1,M6,M65,M65.3,M65.33,M65.331,Synovitis & tenosynovitis,finger,middle trigger,.,finger middle trigger .,finger,hand,arm,musculoskeletal,.,y,.
M,6,5,3,3,2,M6,M65,M65.3,M65.33,M65.332,Synovitis & tenosynovitis,finger,middle trigger,.,finger middle trigger .,finger,hand,arm,musculoskeletal,.,y,.
M,6,5,3,4,1,M6,M65,M65.3,M65.34,M65.341,Synovitis & tenosynovitis,finger,ring trigger,.,finger ring trigger .,finger,hand,arm,musculoskeletal,.,y,.
M,6,5,3,4,2,M6,M65,M65.3,M65.34,M65.342,Synovitis & tenosynovitis,finger,ring trigger,.,finger ring trigger .,finger,hand,arm,musculoskeletal,.,y,.
M,6,5,3,5,2,M6,M65,M65.3,M65.35,M65.352,Synovitis & tenosynovitis,finger,trigger,.,finger trigger .,finger,hand,arm,musculoskeletal,.,y,.
M,7,9,6,4,1,M7,M79,M79.6,M79.64,M79.641,Other soft tissue disorders,pain,fingers hand,.,pain fingers hand .,finger,hand,arm,musculoskeletal,.,y,.
M,7,9,6,4,2,M7,M79,M79.6,M79.64,M79.642,Other soft tissue disorders,pain,fingers hand,.,pain fingers hand .,finger,hand,arm,musculoskeletal,.,y,.
M,7,9,6,4,4,M7,M79,M79.6,M79.64,M79.644,Other soft tissue disorders,pain,fingers hand,.,pain fingers hand .,finger,hand,arm,musculoskeletal,.,y,.
M,7,9,6,4,5,M7,M79,M79.6,M79.64,M79.645,Other soft tissue disorders,pain,fingers hand,.,pain fingers hand .,finger,hand,arm,musculoskeletal,.,y,.
M,7,9,6,4,6,M7,M79,M79.6,M79.64,M79.646,Other soft tissue disorders,pain,fingers hand,.,pain fingers hand .,finger,hand,arm,musculoskeletal,.,y,.
M,8,7,0,4,3,M8,M87,M87.0,M87.04,M87.043,Osteonecrosis,aseptic idiopathic necrosis,fingers hand,.,aseptic idiopathic necrosis fingers hand .,finger,hand,arm,musculoskeletal,.,y,.
M,2,1,5,1,1,M2,M21,M21.5,M21.51,M21.511,Other acquired deformities of limbs,acquired,clawhand hand,.,acquired clawhand hand .,hand,hand,arm,musculoskeletal,joint disorder,y,.
M,2,1,9,4,1,M2,M21,M21.9,M21.94,M21.941,Other acquired deformities of limbs,acquired deformity,hand,.,acquired deformity hand .,hand,hand,arm,musculoskeletal,joint disorder,y,.
M,2,1,9,4,2,M2,M21,M21.9,M21.94,M21.942,Other acquired deformities of limbs,acquired deformity,hand,.,acquired deformity hand .,hand,hand,arm,musculoskeletal,joint disorder,y,.
M,2,4,2,4,1,M2,M24,M24.2,M24.24,M24.241,Other specific joint derangements,disorder ligament,hand,.,disorder ligament hand .,hand,hand,arm,musculoskeletal,joint disorder,y,.
M,2,4,5,4,1,M2,M24,M24.5,M24.54,M24.541,Other specific joint derangements,contracture,hand,.,contracture hand .,hand,hand,arm,musculoskeletal,joint disorder,y,.
M,2,4,5,4,2,M2,M24,M24.5,M24.54,M24.542,Other specific joint derangements,contracture,hand,.,contracture hand .,hand,hand,arm,musculoskeletal,joint disorder,y,.
M,2,5,4,4,2,M2,M25,M25.4,M25.44,M25.442,Other joint disorders,effusion,hand,.,effusion hand .,hand,hand,arm,musculoskeletal,joint disorder,y,.
M,2,1,0,0,.,M2,M21,M21.0,M21.00,M21.00,Other acquired deformities of limbs,classified deformity valgus,site,.,classified deformity valgus site .,.,-,.,musculoskeletal,joint disorder,y,.
M,2,5,5,4,1,M2,M25,M25.5,M25.54,M25.541,Other joint disorders,pain,hand joints,.,pain hand joints .,hand,hand,arm,musculoskeletal,joint disorder,y,.
M,2,5,5,4,2,M2,M25,M25.5,M25.54,M25.542,Other joint disorders,pain,hand joints,.,pain hand joints .,hand,hand,arm,musculoskeletal,joint disorder,y,.
M,2,5,6,4,2,M2,M25,M25.6,M25.64,M25.642,Other joint disorders,classified stiffness,hand,.,classified stiffness hand .,hand,hand,arm,musculoskeletal,joint disorder,y,.
M,2,5,6,4,9,M2,M25,M25.6,M25.64,M25.649,Other joint disorders,classified stiffness,hand,.,classified stiffness hand .,hand,hand,arm,musculoskeletal,joint disorder,y,.
M,2,5,7,4,9,M2,M25,M25.7,M25.74,M25.749,Other joint disorders,osteophyte,hand,.,osteophyte hand .,hand,hand,arm,musculoskeletal,joint disorder,y,.
M,6,5,8,4,1,M6,M65,M65.8,M65.84,M65.841,Synovitis & tenosynovitis,synovitis tenosynovitis,hand,.,synovitis tenosynovitis hand .,hand,hand,arm,musculoskeletal,"disorder, tendon",y,.
M,6,5,8,4,2,M6,M65,M65.8,M65.84,M65.842,Synovitis & tenosynovitis,synovitis tenosynovitis,hand,.,synovitis tenosynovitis hand .,hand,hand,arm,musculoskeletal,"disorder, tendon",y,.
M,6,6,2,4,1,M6,M66,M66.2,M66.24,M66.241,Spontaneous rupture of synovium & tendon,extensor rupture spontaneous tendons,hand,.,extensor rupture spontaneous tendons hand .,hand,hand,arm,musculoskeletal,"disorder, tendon",y,.
M,2,1,1,0,.,M2,M21,M21.1,M21.10,M21.10,Other acquired deformities of limbs,classified deformity varus,site,.,classified deformity varus site .,.,-,.,musculoskeletal,joint disorder,y,.
M,6,6,2,4,2,M6,M66,M66.2,M66.24,M66.242,Spontaneous rupture of synovium & tendon,extensor rupture spontaneous tendons,hand,.,extensor rupture spontaneous tendons hand .,hand,hand,arm,musculoskeletal,"disorder, tendon",y,.
M,6,7,4,4,1,M6,M67,M67.4,M67.44,M67.441,Other disorders of synovium & tendon,ganglion,hand,.,ganglion hand .,hand,hand,arm,musculoskeletal,"disorder, tendon",y,.
M,6,7,4,4,2,M6,M67,M67.4,M67.44,M67.442,Other disorders of synovium & tendon,ganglion,hand,.,ganglion hand .,hand,hand,arm,musculoskeletal,"disorder, tendon",y,.
M,8,4,4,4,2,M8,M84,M84.4,M84.44,M84.442,Disorders of continuity of bone,fracture,pathological,hand left,fracture pathological hand left,hand,hand,arm,musculoskeletal,"disorder, bone density",y,.
M,8,6,6,4,2,M8,M86,M86.6,M86.64,M86.642,Osteomyelitis,chronic osteomyelitis,hand,.,chronic osteomyelitis hand .,hand,hand,arm,musculoskeletal,osteomyelitis,y,.
M,9,2,2,1,1,M9,M92,M92.2,M92.21,M92.211,Other juvenile osteochondrosis,hand juvenile osteochondrosis,carpal kienbock lunate,.,hand juvenile osteochondrosis carpal kienbock lunate .,hand,hand,arm,musculoskeletal,"osteochondrosis, juvenile",y,.
M,2,1,2,0,.,M2,M21,M21.2,M21.20,M21.20,Other acquired deformities of limbs,deformity flexion,site,.,deformity flexion site .,.,-,.,musculoskeletal,joint disorder,y,.
M,9,2,2,1,2,M9,M92,M92.2,M92.21,M92.212,Other juvenile osteochondrosis,hand juvenile osteochondrosis,carpal kienbock lunate,.,hand juvenile osteochondrosis carpal kienbock lunate .,hand,hand,arm,musculoskeletal,"osteochondrosis, juvenile",y,.
M,2,1,7,2,1,M2,M21,M21.7,M21.72,M21.721,Other acquired deformities of limbs,acquired length limb unequal,humerus,.,acquired length limb unequal humerus .,humerus,arm,arm,musculoskeletal,joint disorder,y,.
M,8,4,4,2,1,M8,M84,M84.4,M84.42,M84.421,Disorders of continuity of bone,fracture,humerus pathological,right,fracture humerus pathological right,humerus,arm,arm,musculoskeletal,pathological fracture,y,.
M,8,4,4,2,2,M8,M84,M84.4,M84.42,M84.422,Disorders of continuity of bone,fracture,humerus pathological,left,fracture humerus pathological left,humerus,arm,arm,musculoskeletal,pathological fracture,y,.
M,8,4,5,2,1,M8,M84,M84.5,M84.52,M84.521,Disorders of continuity of bone,fracture,disease humerus neoplastic pathological,right,fracture disease humerus neoplastic pathological right,humerus,arm,arm,musculoskeletal,pathological fracture,y,.
M,8,4,5,2,2,M8,M84,M84.5,M84.52,M84.522,Disorders of continuity of bone,fracture,disease humerus neoplastic pathological,left,fracture disease humerus neoplastic pathological left,humerus,arm,arm,musculoskeletal,pathological fracture,y,.
M,8,4,6,2,1,M8,M84,M84.6,M84.62,M84.621,Disorders of continuity of bone,fracture,disease humerus pathological,right,fracture disease humerus pathological right,humerus,arm,arm,musculoskeletal,pathological fracture,y,.
M,8,4,6,2,2,M8,M84,M84.6,M84.62,M84.622,Disorders of continuity of bone,fracture,disease humerus pathological,left,fracture disease humerus pathological left,humerus,arm,arm,musculoskeletal,pathological fracture,y,.
M,8,5,4,2,1,M8,M85,M85.4,M85.42,M85.421,Other disorders of bone density & structure,bone cyst solitary,humerus,.,bone cyst solitary humerus .,humerus,arm,arm,musculoskeletal,"disorder, bone density",y,.
M,8,5,4,2,2,M8,M85,M85.4,M85.42,M85.422,Other disorders of bone density & structure,bone cyst solitary,humerus,.,bone cyst solitary humerus .,humerus,arm,arm,musculoskeletal,"disorder, bone density",y,.
M,8,6,0,2,2,M8,M86,M86.0,M86.02,M86.022,Osteomyelitis,acute hematogenous osteomyelitis,humerus,.,acute hematogenous osteomyelitis humerus .,humerus,arm,arm,musculoskeletal,osteomyelitis,y,.
M,8,6,1,2,2,M8,M86,M86.1,M86.12,M86.122,Osteomyelitis,acute osteomyelitis,humerus,.,acute osteomyelitis humerus .,humerus,arm,arm,musculoskeletal,osteomyelitis,y,.
M,9,2,0,1,.,M9,M92,M92.0,M92.01,M92.01,Other juvenile osteochondrosis,arm humerus juvenile osteochondrosis,right,.,arm humerus juvenile osteochondrosis right .,humerus,arm,arm,musculoskeletal,"osteochondrosis, juvenile",y,.
M,9,2,0,2,.,M9,M92,M92.0,M92.02,M92.02,Other juvenile osteochondrosis,arm humerus juvenile osteochondrosis,left,.,arm humerus juvenile osteochondrosis left .,humerus,arm,arm,musculoskeletal,"osteochondrosis, juvenile",y,.
M,2,1,9,3,1,M2,M21,M21.9,M21.93,M21.931,Other acquired deformities of limbs,acquired deformity,forearm,.,acquired deformity forearm .,lower,arm,arm,musculoskeletal,joint disorder,y,.
M,2,1,9,3,2,M2,M21,M21.9,M21.93,M21.932,Other acquired deformities of limbs,acquired deformity,forearm,.,acquired deformity forearm .,lower,arm,arm,musculoskeletal,joint disorder,y,.
M,2,1,9,3,9,M2,M21,M21.9,M21.93,M21.939,Other acquired deformities of limbs,acquired deformity,forearm,.,acquired deformity forearm .,lower,arm,arm,musculoskeletal,joint disorder,y,.
M,6,2,4,3,1,M6,M62,M62.4,M62.43,M62.431,Other disorders of muscle,contracture muscle,forearm,.,contracture muscle forearm .,lower,arm,arm,musculoskeletal,"disorder, muscle",y,.
M,7,9,6,3,1,M7,M79,M79.6,M79.63,M79.631,Other soft tissue disorders,pain,forearm,.,pain forearm .,lower,arm,arm,musculoskeletal,"disorder, soft-tissue",y,.
M,7,9,6,3,2,M7,M79,M79.6,M79.63,M79.632,Other soft tissue disorders,pain,forearm,.,pain forearm .,lower,arm,arm,musculoskeletal,"disorder, soft-tissue",y,.
M,8,6,1,3,1,M8,M86,M86.1,M86.13,M86.131,Osteomyelitis,acute osteomyelitis,radius ulna,.,acute osteomyelitis radius ulna .,lower,arm,arm,musculoskeletal,osteomyelitis,y,.
M,2,1,7,0,.,M2,M21,M21.7,M21.70,M21.70,Other acquired deformities of limbs,acquired length limb unequal,site,.,acquired length limb unequal site .,.,-,.,musculoskeletal,joint disorder,y,.
M,9,3,8,3,1,M9,M93,M93.8,M93.83,M93.831,Other osteochondropathies,osteochondropathies,forearm,.,osteochondropathies forearm .,lower,arm,arm,musculoskeletal,"osteochondrosis, other",y,.
M,9,3,8,3,2,M9,M93,M93.8,M93.83,M93.832,Other osteochondropathies,osteochondropathies,forearm,.,osteochondropathies forearm .,lower,arm,arm,musculoskeletal,"osteochondrosis, other",y,.
M,9,3,8,3,9,M9,M93,M93.8,M93.83,M93.839,Other osteochondropathies,osteochondropathies,forearm,.,osteochondropathies forearm .,lower,arm,arm,musculoskeletal,"osteochondrosis, other",y,.
M,8,4,3,3,3,M8,M84,M84.3,M84.33,M84.333,Disorders of continuity of bone,fracture,stress,radius right,fracture stress radius right,radius,arm,arm,musculoskeletal,stress fracture,y,.
M,8,4,5,3,4,M8,M84,M84.5,M84.53,M84.534,Disorders of continuity of bone,fracture,disease neoplastic pathological,left radius,fracture disease neoplastic pathological left radius,radius,arm,arm,musculoskeletal,pathological fracture,y,.
M,2,1,8,0,.,M2,M21,M21.8,M21.80,M21.80,Other acquired deformities of limbs,acquired deformities,limb,.,acquired deformities limb .,.,-,.,musculoskeletal,joint disorder,y,.
M,8,5,4,3,2,M8,M85,M85.4,M85.43,M85.432,Other disorders of bone density & structure,bone cyst solitary,radius ulna,.,bone cyst solitary radius ulna .,radius,arm,arm,musculoskeletal,"disorder, bone density",y,.
M,8,9,1,3,1,M8,M89,M89.1,M89.13,M89.131,Other disorders of bone,arrest physeal,distal radius,.,arrest physeal distal radius .,radius,arm,arm,musculoskeletal,arrest physeal,y,.
M,8,9,1,3,2,M8,M89,M89.1,M89.13,M89.132,Other disorders of bone,arrest physeal,distal radius,.,arrest physeal distal radius .,radius,arm,arm,musculoskeletal,arrest physeal,y,.
M,8,9,1,3,3,M8,M89,M89.1,M89.13,M89.133,Other disorders of bone,arrest physeal,distal radius,.,arrest physeal distal radius .,radius,arm,arm,musculoskeletal,arrest physeal,y,.
M,8,9,1,3,4,M8,M89,M89.1,M89.13,M89.134,Other disorders of bone,arrest physeal,distal radius,.,arrest physeal distal radius .,radius,arm,arm,musculoskeletal,arrest physeal,y,.
M,8,9,1,3,8,M8,M89,M89.1,M89.13,M89.138,Other disorders of bone,arrest physeal,distal radius,forearm,arrest physeal distal radius forearm,radius,arm,arm,musculoskeletal,arrest physeal,y,.
M,8,9,1,3,9,M8,M89,M89.1,M89.13,M89.139,Other disorders of bone,arrest physeal,distal radius,forearm,arrest physeal distal radius forearm,radius,arm,arm,musculoskeletal,arrest physeal,y,.
M,2,1,9,0,.,M2,M21,M21.9,M21.90,M21.90,Other acquired deformities of limbs,acquired deformity,limb,.,acquired deformity limb .,.,-,.,musculoskeletal,joint disorder,y,.
M,0,0,8,1,2,M0,M00,M00.8,M00.81,M00.812,Pyogenic arthritis,bacteria due,arthritis shoulder,.,bacteria due arthritis shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,1,2,5,1,9,M1,M12,M12.5,M12.51,M12.519,Other specific arthropathies,arthropathy traumatic,shoulder,.,arthropathy traumatic shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,4,1,1,1,M2,M24,M24.1,M24.11,M24.111,Other specific joint derangements,articular cartilage disorders,shoulder,.,articular cartilage disorders shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,4,2,1,1,M2,M24,M24.2,M24.21,M24.211,Other specific joint derangements,disorder ligament,shoulder,.,disorder ligament shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,4,2,1,2,M2,M24,M24.2,M24.21,M24.212,Other specific joint derangements,disorder ligament,shoulder,.,disorder ligament shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,4,4,1,1,M2,M24,M24.4,M24.41,M24.411,Other specific joint derangements,dislocation recurrent,shoulder,.,dislocation recurrent shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,4,4,1,2,M2,M24,M24.4,M24.41,M24.412,Other specific joint derangements,dislocation recurrent,shoulder,.,dislocation recurrent shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,4,5,1,2,M2,M24,M24.5,M24.51,M24.512,Other specific joint derangements,contracture,shoulder,.,contracture shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,5,3,1,1,M2,M25,M25.3,M25.31,M25.311,Other joint disorders,instability,shoulder,.,instability shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,5,3,1,2,M2,M25,M25.3,M25.31,M25.312,Other joint disorders,instability,shoulder,.,instability shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,5,4,1,9,M2,M25,M25.4,M25.41,M25.419,Other joint disorders,effusion,shoulder,.,effusion shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,5,5,1,1,M2,M25,M25.5,M25.51,M25.511,Other joint disorders,pain,shoulder,.,pain shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,5,5,1,2,M2,M25,M25.5,M25.51,M25.512,Other joint disorders,pain,shoulder,.,pain shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,5,6,1,1,M2,M25,M25.6,M25.61,M25.611,Other joint disorders,classified stiffness,shoulder,.,classified stiffness shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,5,6,1,2,M2,M25,M25.6,M25.61,M25.612,Other joint disorders,classified stiffness,shoulder,.,classified stiffness shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,5,6,1,9,M2,M25,M25.6,M25.61,M25.619,Other joint disorders,classified stiffness,shoulder,.,classified stiffness shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,5,8,1,1,M2,M25,M25.8,M25.81,M25.811,Other joint disorders,joint,disorders shoulder,.,joint disorders shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,2,5,8,1,9,M2,M25,M25.8,M25.81,M25.819,Other joint disorders,joint,disorders shoulder,.,joint disorders shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,6,7,9,1,1,M6,M67,M67.9,M67.91,M67.911,Other disorders of synovium & tendon,disorder synovium tendon,shoulder,.,disorder synovium tendon shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,7,5,2,1,.,M7,M75,M75.2,M75.21,M75.21,Shoulder lesions,bicipital shoulder tendinitis,right,.,bicipital shoulder tendinitis right .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,7,5,2,2,.,M7,M75,M75.2,M75.22,M75.22,Shoulder lesions,bicipital shoulder tendinitis,left,.,bicipital shoulder tendinitis left .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,7,5,4,1,.,M7,M75,M75.4,M75.41,M75.41,Shoulder lesions,impingement shoulder syndrome,right,.,impingement shoulder syndrome right .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,7,5,4,2,.,M7,M75,M75.4,M75.42,M75.42,Shoulder lesions,impingement shoulder syndrome,left,.,impingement shoulder syndrome left .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,7,5,5,2,.,M7,M75,M75.5,M75.52,M75.52,Shoulder lesions,bursitis shoulder,left,.,bursitis shoulder left .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,7,5,8,1,.,M7,M75,M75.8,M75.81,M75.81,Shoulder lesions,shoulder,lesions right,.,shoulder lesions right .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,7,5,8,2,.,M7,M75,M75.8,M75.82,M75.82,Shoulder lesions,shoulder,left lesions,.,shoulder left lesions .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,7,5,9,1,.,M7,M75,M75.9,M75.91,M75.91,Shoulder lesions,shoulder,lesion right,.,shoulder lesion right .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,7,5,9,2,.,M7,M75,M75.9,M75.92,M75.92,Shoulder lesions,shoulder,left lesion,.,shoulder left lesion .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,8,6,0,1,2,M8,M86,M86.0,M86.01,M86.012,Osteomyelitis,acute hematogenous osteomyelitis,shoulder,.,acute hematogenous osteomyelitis shoulder .,shoulder,arm,arm,musculoskeletal,joint,y,.
M,8,4,3,3,1,M8,M84,M84.3,M84.33,M84.331,Disorders of continuity of bone,fracture,stress,right ulna,fracture stress right ulna,ulna,arm,arm,musculoskeletal,stress fracture,y,.
M,8,4,3,3,2,M8,M84,M84.3,M84.33,M84.332,Disorders of continuity of bone,fracture,stress,left ulna,fracture stress left ulna,ulna,arm,arm,musculoskeletal,stress fracture,y,.
M,2,1,8,2,9,M2,M21,M21.8,M21.82,M21.829,Other acquired deformities of limbs,acquired deformities,arm upper,.,acquired deformities arm upper .,upper,arm,arm,musculoskeletal,joint disorder,y,.
M,2,1,9,2,2,M2,M21,M21.9,M21.92,M21.922,Other acquired deformities of limbs,acquired deformity,arm upper,.,acquired deformity arm upper .,upper,arm,arm,musculoskeletal,joint disorder,y,.
M,6,1,0,2,2,M6,M61,M61.0,M61.02,M61.022,Calcification & ossification of muscle,myositis ossificans traumatica,arm upper,.,myositis ossificans traumatica arm upper .,upper,arm,arm,musculoskeletal,"disorder, muscle",y,.
M,7,9,6,2,1,M7,M79,M79.6,M79.62,M79.621,Other soft tissue disorders,pain,arm upper,.,pain arm upper .,upper,arm,arm,musculoskeletal,"disorder, soft-tissue",y,.
M,7,9,6,2,2,M7,M79,M79.6,M79.62,M79.622,Other soft tissue disorders,pain,arm upper,.,pain arm upper .,upper,arm,arm,musculoskeletal,"disorder, soft-tissue",y,.
M,7,9,A,1,1,M7,M79,M79.A,M79.A1,M79.A11,Other soft tissue disorders,compartment nontraumatic syndrome,extremity upper,.,compartment nontraumatic syndrome extremity upper .,upper,arm,arm,musculoskeletal,"disorder, soft-tissue",y,.
M,7,9,A,1,2,M7,M79,M79.A,M79.A1,M79.A12,Other soft tissue disorders,compartment nontraumatic syndrome,extremity upper,.,compartment nontraumatic syndrome extremity upper .,upper,arm,arm,musculoskeletal,"disorder, soft-tissue",y,.
M,8,5,5,2,1,M8,M85,M85.5,M85.52,M85.521,Other disorders of bone density & structure,aneurysmal bone cyst,arm upper,.,aneurysmal bone cyst arm upper .,upper,arm,arm,musculoskeletal,"disorder, bone density",y,.
M,9,3,9,2,9,M9,M93,M93.9,M93.92,M93.929,Other osteochondropathies,osteochondropathy,arm upper,.,osteochondropathy arm upper .,upper,arm,arm,musculoskeletal,"osteochondrosis, other",y,.
M,2,4,1,0,.,M2,M24,M24.1,M24.10,M24.10,Other specific joint derangements,articular cartilage disorders,site,.,articular cartilage disorders site .,.,-,.,musculoskeletal,joint disorder,y,.
M,1,9,0,3,1,M1,M19,M19.0,M19.03,M19.031,Other arthrosis,osteoarthritis primary,wrist,.,osteoarthritis primary wrist .,wrist,hand,arm,musculoskeletal,joint,y,.
M,2,4,2,0,.,M2,M24,M24.2,M24.20,M24.20,Other specific joint derangements,disorder ligament,site,.,disorder ligament site .,.,-,.,musculoskeletal,joint disorder,y,.
M,2,1,3,7,1,M2,M21,M21.3,M21.37,M21.371,Other acquired deformities of limbs,drop foot wrist,left right,.,drop foot wrist left right .,wrist,hand,arm,musculoskeletal,joint,y,.
M,2,1,3,7,2,M2,M21,M21.3,M21.37,M21.372,Other acquired deformities of limbs,drop foot wrist,left right,.,drop foot wrist left right .,wrist,hand,arm,musculoskeletal,joint,y,.
M,2,4,5,3,1,M2,M24,M24.5,M24.53,M24.531,Other specific joint derangements,contracture,wrist,.,contracture wrist .,wrist,hand,arm,musculoskeletal,joint,y,.
M,2,4,5,3,2,M2,M24,M24.5,M24.53,M24.532,Other specific joint derangements,contracture,wrist,.,contracture wrist .,wrist,hand,arm,musculoskeletal,joint,y,.
M,2,4,5,3,9,M2,M24,M24.5,M24.53,M24.539,Other specific joint derangements,contracture,wrist,.,contracture wrist .,wrist,hand,arm,musculoskeletal,joint,y,.
M,2,5,3,3,1,M2,M25,M25.3,M25.33,M25.331,Other joint disorders,instability,wrist,.,instability wrist .,wrist,hand,arm,musculoskeletal,joint,y,.
M,2,5,3,3,2,M2,M25,M25.3,M25.33,M25.332,Other joint disorders,instability,wrist,.,instability wrist .,wrist,hand,arm,musculoskeletal,joint,y,.
M,2,5,4,3,2,M2,M25,M25.4,M25.43,M25.432,Other joint disorders,effusion,wrist,.,effusion wrist .,wrist,hand,arm,musculoskeletal,joint,y,.
M,2,5,5,3,1,M2,M25,M25.5,M25.53,M25.531,Other joint disorders,pain,wrist,.,pain wrist .,wrist,hand,arm,musculoskeletal,joint,y,.
M,2,5,5,3,2,M2,M25,M25.5,M25.53,M25.532,Other joint disorders,pain,wrist,.,pain wrist .,wrist,hand,arm,musculoskeletal,joint,y,.
M,2,5,5,3,9,M2,M25,M25.5,M25.53,M25.539,Other joint disorders,pain,wrist,.,pain wrist .,wrist,hand,arm,musculoskeletal,joint,y,.
